MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
1-01229-7503,2016-R1,442 AMSTERDAM AVENUE,1,10024,40.784662,-73.977236,7,6,167,1032682,1012297503,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R9-CONDOPS,12,1920,8594,283602,33,1320000,154,1-01243-0031,724 AMSTERDAM AVENUE,UPPER WEST SIDE (79-96),C7-WALK-UP,17,1910,8550,291465,34.1,1360000,159,0.7,1-01227-0033,410 AMSTERDAM AVENUE,UPPER WEST SIDE (79-96),C7-WALK-UP,13,1920,9485,319632,33.7,1490000,157,0.1
1-01230-7501,590-R1,2280 BROADWAY,1,10024,40.785922,-73.97842,7,6,171,1076247,1012307501,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R9-CONDOPS,97,1923,155319,4348932,28,18000000,116,1-01203-0033,295 CENTRAL PARK WEST,UPPER WEST SIDE (79-96),D3-ELEVATOR,136,1941,145476,4141606,28.5,17200000,118,0.45,1-01200-0019,21 WEST 86 STREET,UPPER WEST SIDE (79-96),D7-ELEVATOR,157,1927,141498,4756889,33.6,22200000,157,0.35
1-01231-7501,386-R1,225 WEST 83 STREET,1,10024,40.786199,-73.97751,7,6,171,1084303,1012317501,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,306,1985,369189,14767560,40,72500009,196,1-01242-9055,2527 BROADWAY,UPPER WEST SIDE (79-96),D9-ELEVATOR,295,1999,307500,11763401,38.3,57700000,188,0.55,,,,,,,,,,,,
1-01232-7501,616-R1,255 WEST 84 STREET,1,10024,40.787261,-73.978066,7,6,171,1033104,1012327501,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R9-CONDOPS,76,1915,147022,4116616,28,17100000,116,1-01203-0033,295 CENTRAL PARK WEST,UPPER WEST SIDE (79-96),D3-ELEVATOR,136,1941,145476,4141606,28.5,17200000,118,0.45,1-01200-0019,21 WEST 86 STREET,UPPER WEST SIDE (79-96),D7-ELEVATOR,157,1927,141498,4756889,33.6,22200000,157,0.4
1-01232-7502,1230-R1,500 WEST END AVENUE,1,10024,40.787657,-73.978734,7,6,171,1033103,1012327502,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,89,1915,141562,4388422,31,20399994,144,1-01236-0037,210 WEST 89 STREET,UPPER WEST SIDE (79-96),D6-ELEVATOR,152,1963,133284,3868438,29,18000000,135,0.25,1-01200-0019,21 WEST 86 STREET,UPPER WEST SIDE (79-96),D7-ELEVATOR,157,1927,141498,4756889,33.6,22200000,157,0.4
1-01233-7501,296-R1,530 WEST END AVENUE,1,10024,40.788655,-73.978011,7,6,171,1033149,1012337501,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,45,1912,79554,2068404,26,8570001,108,1-01200-0005,51 WEST 86 STREET,UPPER WEST SIDE (79-96),D3-ELEVATOR,83,1927,70144,2064827,29.4,9620000,137,0.4,1-01249-0057,155 RIVERSIDE DRIVE,UPPER WEST SIDE (79-96),D3-ELEVATOR,64,1930,87129,2327158,26.7,9640000,111,0.15
1-01233-7502,892-R1,255 WEST 85 STREET,1,10024,40.787884,-73.977582,7,6,171,1033131,1012337502,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,57,1986,60115,2404600,40,11800006,196,1-01196-0003,465 COLUMBUS AVENUE,UPPER WEST SIDE (79-96),D6-ELEVATOR,21,1988,19303,753964,39.1,3700000,192,0.4,1-01242-0010,2521 BROADWAY,UPPER WEST SIDE (79-96),D9-ELEVATOR,60,2001,69000,2274807,33,10600000,154,0.45
1-01234-7501,600-R1,2373 BROADWAY,1,10024,40.788718,-73.976166,7,6,175,1076251,1012347501,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R9-CONDOPS,354,1987,412000,16480000,40,80900000,196,1-01242-9055,2527 BROADWAY,UPPER WEST SIDE (79-96),D9-ELEVATOR,295,1999,307500,11763401,38.3,57700000,188,0.4,,,,,,,,,,,,
1-01235-7501,74-R1,250 WEST 88 STREET,1,10024,40.789662,-73.975681,7,6,175,1033227,1012357501,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,60,1920,56306,1520262,27,6299998,112,1-01252-0001,200 RIVERSIDE DRIVE,UPPER WEST SIDE (79-96),D3-ELEVATOR,59,1906,63794,1880141,29.5,8760000,137,0.25,1-01251-0063,302 WEST 92 STREET,UPPER WEST SIDE (79-96),D3-ELEVATOR,100,1912,64598,3053300,47.3,15000000,232,0.2
1-01236-7501,428-R1,250 WEST 89 STREET,1,10024,40.790362,-73.975403,7,6,175,1071151,1012367501,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R9-CONDOPS,142,1986,134054,5630268,42,27600000,206,1-01240-0052,2495 BROADWAY,UPPER WEST SIDE (79-96),D6-ELEVATOR,146,2005,129000,6647023,52,32600000,253,0.2,1-01220-0029,60218 COLUMBUS AVENUE,UPPER WEST SIDE (79-96),D6-ELEVATOR,170,1986,175436,9129020,52,44800000,255,0.2
1-01236-7502,1814-R1,215 WEST 88 STREET,1,10024,40.789248,-73.974656,7,6,175,1087732,1012367502,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,94,1915,171946,4814488,28,19900007,116,1-01230-0043,2290 BROADWAY,UPPER WEST SIDE (79-96),D6-ELEVATOR,125,1924,165452,5301704,32,24700000,149,0.3,1-01237-0033,618 AMSTERDAM AVENUE,UPPER WEST SIDE (79-96),D6-ELEVATOR,116,1925,161422,4317119,26.7,17900000,111,0.05
1-01236-7503,2075-R1,211 WEST 88 STREET,1,10024,40.789201,-73.97454,7,6,175,1033293,1012367503,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R2-WALK-UP,15,1910,10789,323670,30,1549993,144,1-01239-0027,205 WEST 91 STREET,UPPER WEST SIDE (79-96),C1-WALK-UP,22,1900,11900,367645,30.9,1710000,144,0.15,1-01198-0058,66 WEST 85 STREET,UPPER WEST SIDE (79-96),C5-WALK-UP,13,1900,10080,264137,26.2,1090000,108,0.35
1-01237-7501,285-R1,2421 BROADWAY,1,10024,40.790354,-73.97493,7,6,175,1033313,1012377501,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,72,1920,147994,4143832,28,17200013,116,1-01203-0033,295 CENTRAL PARK WEST,UPPER WEST SIDE (79-96),D3-ELEVATOR,136,1941,145476,4141606,28.5,17200000,118,0.4,1-01200-0019,21 WEST 86 STREET,UPPER WEST SIDE (79-96),D7-ELEVATOR,157,1927,141498,4756889,33.6,22200000,157,0.4
1-01237-7502,384-R1,250 WEST 90 STREET,1,10024,40.791067,-73.975128,7,6,175,1033386,1012377502,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,157,1985,170760,7171920,42,35199993,206,1-01240-0052,2495 BROADWAY,UPPER WEST SIDE (79-96),D6-ELEVATOR,146,2005,129000,6647023,52,32600000,253,0.15,1-01220-0029,60218 COLUMBUS AVENUE,UPPER WEST SIDE (79-96),D6-ELEVATOR,170,1986,175436,9129020,52,44800000,255,0.2
1-01238-7501,1117-R1,215 WEST 90 STREET,1,10024,40.790494,-73.973717,7,6,179,1033556,1012387501,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,93,1922,166559,5163329,31,24100009,145,1-01230-0043,2290 BROADWAY,UPPER WEST SIDE (79-96),D6-ELEVATOR,125,1924,165452,5301704,32,24700000,149,0.4,1-01200-0019,21 WEST 86 STREET,UPPER WEST SIDE (79-96),D7-ELEVATOR,157,1927,141498,4756889,33.6,22200000,157,0.35
1-01238-7503,1265-R1,203 WEST 90 STREET,1,10024,40.790356,-73.973392,7,6,179,1086107,1012387503,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,84,1920,118026,3304728,28,13700000,116,1-01232-0055,2333 BROADWAY,UPPER WEST SIDE (79-96),D6-ELEVATOR,128,1922,111811,3414116,30.5,15900000,142,0.3,1-01232-0014,2326 BROADWAY,UPPER WEST SIDE (79-96),D6-ELEVATOR,129,1925,104810,4157479,39.7,20400000,195,0.3
1-01239-7501,732-R1,640 WEST END AVENUE,1,10024,40.792025,-73.975161,7,6,179,1033580,1012397501,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,37,1913,59951,1678628,28,6950002,116,1-01253-0035,310 WEST 95 STREET,UPPER WEST SIDE (79-96),D3-ELEVATOR,45,1925,37674,1466490,38.9,7200000,191,0.2,1-01245-0088,324 WEST 84 STREET,UPPER WEST SIDE (79-96),D9-ELEVATOR,48,1914,38016,1057568,27.8,4380000,115,0.4
1-01239-7502,1089-R1,650 WEST END AVENUE,1,10025,40.792508,-73.975204,7,6,179,1033604,1012397502,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,47,1916,92402,2587256,28,10700005,116,1-01249-0057,155 RIVERSIDE DRIVE,UPPER WEST SIDE (79-96),D3-ELEVATOR,64,1930,87129,2327158,26.7,9640000,111,0.25,1-01216-0060,168 WEST 86 STREET,UPPER WEST SIDE (79-96),D3-ELEVATOR,50,1923,100042,2925528,29.2,13600000,136,0.4
1-01240-7501,387-R1,255 WEST 92 STREET,1,10025,40.792344,-73.974214,7,6,179,1033623,1012407501,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,15,1900,15815,506080,32,2360001,149,1-01199-0051,32 WEST 86 STREET,UPPER WEST SIDE (79-96),D9-ELEVATOR,14,1900,9205,357642,38.9,1760000,191,0.5,1-01199-0052,34 WEST 86 STREET,UPPER WEST SIDE (79-96),D9-ELEVATOR,18,1900,9205,274927,29.9,1280000,139,0.5
1-01240-7502,1727-R1,220 WEST 93 STREET,1,10025,40.792475,-73.972622,7,6,179,1033616,1012407502,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,58,1926,116997,3275916,28,13600004,116,1-01200-0025,5 WEST 86 STREET,UPPER WEST SIDE (79-96),D3-ELEVATOR,85,1937,116021,3176090,27.4,13200000,114,0.4,1-01195-0014,25 WEST 81 STREET,UPPER WEST SIDE (79-96),D1-ELEVATOR,64,1927,109896,3442772,31.3,16000000,146,0.65
1-01241-7501,200-R1,257 WEST 93 STREET,1,10025,40.793013,-73.973853,7,6,179,1033657,1012417501,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,15,1930,16506,528192,32,2459998,149,1-01199-0051,32 WEST 86 STREET,UPPER WEST SIDE (79-96),D9-ELEVATOR,14,1900,9205,357642,38.9,1760000,191,0.55,1-01199-0052,34 WEST 86 STREET,UPPER WEST SIDE (79-96),D9-ELEVATOR,18,1900,9205,274927,29.9,1280000,139,0.55
1-01243-7501,415-R1,215 WEST 95 STREET,1,10025,40.79363,-73.971429,7,6,183,1071159,1012437501,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,212,1986,145085,6093570,42,29900007,206,1-01240-0052,2495 BROADWAY,UPPER WEST SIDE (79-96),D6-ELEVATOR,146,2005,129000,6647023,52,32600000,253,0.15,1-01220-0029,60218 COLUMBUS AVENUE,UPPER WEST SIDE (79-96),D6-ELEVATOR,170,1986,175436,9129020,52,44800000,255,0.3
1-01244-7501,221-R1,303 WEST 80 STREET,1,10024,40.785126,-73.980883,7,6,167,1033765,1012447501,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,24,1920,20118,663894,33,3089996,154,1-01244-0020,306 WEST 80 STREET,UPPER WEST SIDE (79-96),D5-ELEVATOR,30,1910,22740,741600,32.6,3450000,152,0.05,1-01244-0022,310 WEST 80 STREET,UPPER WEST SIDE (79-96),D1-ELEVATOR,36,1910,22728,916700,40.3,4500000,198,0.05
1-01245-7501,29-R1,309 WEST 83 STREET,1,10024,40.787121,-73.979709,7,6,171,1033837,1012457501,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R9-CONDOPS,17,1920,25216,832128,33,3880000,154,1-01244-0020,306 WEST 80 STREET,UPPER WEST SIDE (79-96),D5-ELEVATOR,30,1910,22740,741600,32.6,3450000,152,0.2,1-01244-0022,310 WEST 80 STREET,UPPER WEST SIDE (79-96),D1-ELEVATOR,36,1910,22728,916700,40.3,4500000,198,0.2
1-01246-7501,78-R1,342 WEST 85 STREET,1,10024,40.788667,-73.979488,7,6,171,1033881,1012467501,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,22,1910,28436,853080,30,3970004,140,1-01252-0024,308 WEST 93 STREET,UPPER WEST SIDE (79-96),D1-ELEVATOR,48,1927,25890,686470,26.5,2840000,110,0.4,1-01253-0064,311 WEST 95 STREET,UPPER WEST SIDE (79-96),D1-ELEVATOR,32,1931,31360,951385,30.3,4430000,141,0.55
1-01247-7501,740-R1,340 WEST 86 STREET,1,10024,40.789553,-73.979466,7,6,171,1033928,1012477501,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,70,1950,90566,2445282,27,10099998,112,1-01199-0045,20 WEST 86 STREET,UPPER WEST SIDE (79-96),D3-ELEVATOR,64,1929,103112,2917833,28.3,12100000,117,0.5,1-01217-0025,115 WEST 86 STREET,UPPER WEST SIDE (79-96),D3-ELEVATOR,81,1931,83837,2751520,32.8,12800000,153,0.35
1-01250-7503,1692-R1,317 WEST 89 STREET,1,10024,40.791071,-73.977032,7,6,175,1087454,1012507503,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,24,1920,60480,1693440,28,7009993,116,1-01231-0007,2301 BROADWAY,UPPER WEST SIDE (79-96),D9-ELEVATOR,37,1910,61250,1934753,31.6,9010000,147,0.3,1-01252-0001,200 RIVERSIDE DRIVE,UPPER WEST SIDE (79-96),D3-ELEVATOR,59,1906,63794,1880141,29.5,8760000,137,0.15
1-01250-7504,1747-R1,595 WEST END AVENUE,1,10024,40.790637,-73.976591,7,6,175,1087679,1012507504,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,54,1923,55190,1490130,27,6170001,112,1-01251-0063,302 WEST 92 STREET,UPPER WEST SIDE (79-96),D3-ELEVATOR,100,1912,64598,3053300,47.3,15000000,232,0.15,1-01252-0001,200 RIVERSIDE DRIVE,UPPER WEST SIDE (79-96),D3-ELEVATOR,59,1906,63794,1880141,29.5,8760000,137,0.2
1-01251-7501,1129-R1,190 RIVERSIDE DRIVE,1,10024,40.792682,-73.976757,7,6,179,1034093,1012517501,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,51,1911,78380,2508160,32,11700002,149,1-01246-0001,125 RIVERSIDE DRIVE,UPPER WEST SIDE (79-96),D6-ELEVATOR,64,1907,70328,1522451,21.65,6310000,90,0.35,1-01217-0025,115 WEST 86 STREET,UPPER WEST SIDE (79-96),D3-ELEVATOR,81,1931,83837,2751520,32.8,12800000,153,0.4
1-01252-7501,149-R1,314 WEST 94 STREET,1,10025,40.794163,-73.974687,7,6,179,1034144,1012527501,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,32,1920,32750,917000,28,3800000,116,1-01246-0053,350 WEST 85 STREET,UPPER WEST SIDE (79-96),D2-ELEVATOR,54,1908,35094,1020113,29.1,4750000,135,0.45,1-01252-0025,310 WEST 93 STREET,UPPER WEST SIDE (79-96),D1-ELEVATOR,36,1910,32490,902667,27.8,3740000,115,0.05
1-01253-7501,533-R1,317 WEST 95 STREET,1,10025,40.794839,-73.974285,7,6,183,1071383,1012537501,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,30,1902,32905,921340,28,3820004,116,1-01246-0053,350 WEST 85 STREET,UPPER WEST SIDE (79-96),D2-ELEVATOR,54,1908,35094,1020113,29.1,4750000,135,0.55,1-01252-0025,310 WEST 93 STREET,UPPER WEST SIDE (79-96),D1-ELEVATOR,36,1910,32490,902667,27.8,3740000,115,0.15
1-01253-7502,647-R1,222 RIVERSIDE DRIVE,1,10025,40.795056,-73.976228,7,6,183,1076254,1012537502,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,104,1989,167752,7045584,42,34600000,206,1-01240-0052,2495 BROADWAY,UPPER WEST SIDE (79-96),D6-ELEVATOR,146,2005,129000,6647023,52,32600000,253,0.15,1-01220-0029,60218 COLUMBUS AVENUE,UPPER WEST SIDE (79-96),D6-ELEVATOR,170,1986,175436,9129020,52,44800000,255,0.4
1-01253-7503,1608-R1,230 RIVERSIDE DRIVE,1,10025,40.795594,-73.975784,7,6,183,1034187,1012537503,Upper West Side                                                            ,UPPER WEST SIDE (79-96),R4-ELEVATOR,261,1931,208241,5414266,26,22399940,108,1-01209-0033,360 CENTRAL PARK WEST,UPPER WEST SIDE (79-96),D6-ELEVATOR,142,1929,186523,3979398,21.33,16500000,88,0.5,1-01233-0016,2350 BROADWAY,UPPER WEST SIDE (79-96),D7-ELEVATOR,321,1903,236789,8282855,35,38600000,163,0.55
1-01263-7501,1655-R1,16 WEST 48 STREET,1,10036,40.757593,-73.978862,5,4,96,1087455,1012637501,Midtown-Midtown South                                                      ,MIDTOWN WEST,R4-ELEVATOR,152,2005,148385,7270865,49,35699983,241,1-01026-0049,230 WEST 55 STREET,MIDTOWN WEST,D6-ELEVATOR,237,1979,210213,9350483,44.5,45900000,218,0.5,1-01041-0019,311 WEST 50 STREET,MIDTOWN WEST,D6-ELEVATOR,104,2001,81050,4459308,55,21900000,270,0.55
1-01269-7501,90-R1,15 WEST 53 STREET,1,10019,40.761038,-73.97728,5,4,104,1034537,1012697501,Midtown-Midtown South                                                      ,MIDTOWN WEST,R4-ELEVATOR,248,1982,503000,22132000,44,109000000,217,1-01021-0001,810 8 AVENUE,MIDTOWN WEST,D6-ELEVATOR,550,1998,578099,23887583,41.3,117000000,202,0.4,1-01020-0005,227 WEST 48 STREET,MIDTOWN WEST,D8-ELEVATOR,487,1989,475327,22433865,47.2,110000000,231,0.45
1-01270-7501,1599-R1,40 WEST 55 STREET,1,10019,40.76224,-73.976298,5,4,104,1034808,1012707501,Midtown-Midtown South                                                      ,MIDTOWN WEST,R4-ELEVATOR,35,1925,44350,1463550,33,6819997,154,1-01036-0010,341 WEST 45 STREET,MIDTOWN WEST,D9-ELEVATOR,90,1939,42396,2015979,47.6,9900000,234,0.7,1-01036-0028,305 WEST 45 STREET,MIDTOWN WEST,D3-ELEVATOR,85,1914,44466,1395626,31.4,6500000,146,0.7
1-01271-7501,7-R2,1360 6 AVENUE,1,10019,40.763116,-73.978063,5,4,104,1034856,1012717501,Midtown-Midtown South                                                      ,MIDTOWN WEST,R4-ELEVATOR,183,1963,141738,4960830,35,23100030,163,1-01272-0001,1380 AVENUE OF THE AMERIC,MIDTOWN WEST,D6-ELEVATOR,252,1963,303642,12588334,41.5,61800000,204,0.05,1-01036-0029,717 8 AVENUE,MIDTOWN WEST,D6-ELEVATOR,182,1966,126778,4851850,38.3,22600000,178,0.7
1-01273-7501,141-R1,58 WEST 58 STREET,1,10019,40.764493,-73.97551,5,4,11201,1035078,1012737501,Midtown-Midtown South                                                      ,MIDTOWN WEST,R4-ELEVATOR,168,1969,206973,7864974,38,36599996,177,1-01272-0001,1380 AVENUE OF THE AMERIC,MIDTOWN WEST,D6-ELEVATOR,252,1963,303642,12588334,41.5,61800000,204,0.05,1-01036-0029,717 8 AVENUE,MIDTOWN WEST,D6-ELEVATOR,182,1966,126778,4851850,38.3,22600000,178,0.8
1-01274-7502,702-R1,57 WEST 58 STREET,1,10019,40.76452,-73.975528,5,4,11201,1035250,1012747502,Midtown-Midtown South                                                      ,MIDTOWN WEST,R4-ELEVATOR,88,1901,68219,2387665,35,11100002,163,1-01037-0038,306 WEST 47 STREET,MIDTOWN WEST,D7-ELEVATOR,80,1910,52860,1337677,25.3,5540000,105,0.8,1-01271-0007,57 WEST 55 STREET,MIDTOWN WEST,D6-ELEVATOR,105,1962,112000,3902419,34.8,18200000,163,0.15
1-01274-7503,1150-R1,50 CENTRAL PARK SOUTH,1,10019,40.765163,-73.975051,5,4,11201,1035256,1012747503,Midtown-Midtown South                                                      ,MIDTOWN WEST,R4-ELEVATOR,11,1931,84843,4072464,48,19999998,236,1-01603-0001,1160 5 AVENUE,UPPER EAST SIDE (96-110),D7-ELEVATOR,82,1925,90349,4967458,55,24400000,270,1.95,1-01039-0032,799 8 AVENUE,MIDTOWN WEST,D6-ELEVATOR,115,1910,95026,3810990,40.1,18700000,197,0.7
1-01274-7504,1508-R1,768 5 AVENUE,1,10019,40.764155,-73.973951,5,4,11201,1035253,1012747504,Midtown-Midtown South                                                      ,MIDTOWN WEST,R4-ELEVATOR,164,1907,395521,24917823,63,121999996,308,1-01453-0027,350 EAST 79 STREET,UPPER EAST SIDE (59-79),D8-ELEVATOR,240,1989,364690,23139484,63,114000000,313,1.25,1-01117-0001,1930 BROADWAY,UPPER WEST SIDE (59-79),D7-ELEVATOR,235,2002,460000,27398465,60,134000000,291,0.55
1-01279-7501,1961-R1,5 EAST 44 STREET,1,10017,40.754624,-73.979542,5,4,94,1035368,1012797501,Midtown-Midtown South                                                      ,MIDTOWN CBD,R4-ELEVATOR,23,2007,26026,1431430,55,7029999,270,1-01311-0045,150 EAST 57 STREET,MIDTOWN CBD,D8-ELEVATOR,145,1997,158063,7763509,49.1,38100000,241,0.65,1-01309-0008,125 EAST 54 STREET,MIDTOWN CBD,D9-ELEVATOR,66,1977,56073,2512284,44.8,12300000,219,0.55
1-01287-7501,13-R1,641 5 AVENUE,1,10022,40.759078,-73.976281,5,4,102,1035481,1012877501,Midtown-Midtown South                                                      ,MIDTOWN CBD,R4-ELEVATOR,226,1973,477801,22456647,47,109999954,230,1-01365-0009,415 EAST 53 STREET,MIDTOWN EAST,D7-ELEVATOR,324,1982,413233,20907775,51,103000000,249,0.7,1-01348-0049,1044 2 AVENUE,MIDTOWN EAST,D9-ELEVATOR,460,1975,580480,32029862,55,157000000,270,0.6
1-01290-7501,1456-R1,60 EAST 55 STREET,1,10022,40.760691,-73.97262,5,4,102,1087101,1012907501,Midtown-Midtown South                                                      ,MIDTOWN CBD,R4-ELEVATOR,74,2003,115852,5502970,47.5,27000000,233,1-01309-0008,125 EAST 54 STREET,MIDTOWN CBD,D9-ELEVATOR,66,1977,56073,2512284,44.8,12300000,219,0.1,1-01311-0045,150 EAST 57 STREET,MIDTOWN CBD,D8-ELEVATOR,145,1997,158063,7763509,49.1,38100000,241,0.2
1-01292-7501,86-R1,721 5 AVENUE,1,10022,40.76239,-73.974374,5,4,11202,1035794,1012927501,Midtown-Midtown South                                                      ,MIDTOWN CBD,R4-ELEVATOR,244,1983,499668,24983400,50,122999979,246,1-01365-0009,415 EAST 53 STREET,MIDTOWN EAST,D7-ELEVATOR,324,1982,413233,20907775,51,103000000,249,0.7,1-01348-0049,1044 2 AVENUE,MIDTOWN EAST,D9-ELEVATOR,460,1975,580480,32029862,55,157000000,270,0.55
1-01294-7501,144-R1,500 PARK AVENUE,1,10022,40.762977,-73.97037,5,4,11202,1036084,1012940037,Midtown-Midtown South                                                      ,MIDTOWN CBD,R4-ELEVATOR,56,1982,176494,7412748,42,36400001,206,1-01318-0019,245 EAST 44 STREET,MIDTOWN EAST,D6-ELEVATOR,182,1986,168998,7288133,43.1,35800000,212,0.75,1-01349-0014,333 EAST 56 STREET,MIDTOWN EAST,D8-ELEVATOR,228,1982,225154,10827586,48.1,53200000,236,0.45
1-01303-7501,305-R1,145 EAST 48 STREET,1,10017,40.755042,-73.972774,6,4,92,1036233,1013037501,Turtle Bay-East Midtown                                                    ,MIDTOWN CBD,R4-ELEVATOR,207,1985,185540,7792680,42,38299998,206,1-01318-0019,245 EAST 44 STREET,MIDTOWN EAST,D6-ELEVATOR,182,1986,168998,7288133,43.1,35800000,212,0.25,1-01349-0014,333 EAST 56 STREET,MIDTOWN EAST,D8-ELEVATOR,228,1982,225154,10827586,48.1,53200000,236,0.45
1-01309-7502,420-R1,135 EAST 54 STREET,1,10022,40.759151,-73.97087,5,4,100,1071461,1013097502,Turtle Bay-East Midtown                                                    ,MIDTOWN CBD,R4-ELEVATOR,145,1951,132205,4627175,35,21599974,163,1-01300-0050,140 EAST 46 STREET,MIDTOWN CBD,D6-ELEVATOR,202,1924,131175,5000929,38.1,24500000,187,0.45,1-01309-0050,136 EAST 55 STREET,MIDTOWN CBD,D6-ELEVATOR,200,1957,204269,7495751,36.7,34900000,171,0.1
1-01310-7501,30-R1,141 EAST 55 STREET,1,10022,40.759488,-73.969729,6,4,100,1036534,1013107501,Turtle Bay-East Midtown                                                    ,MIDTOWN CBD,R4-ELEVATOR,87,1956,70773,2406282,34,11199997,158,1-01305-0023,135 EAST 50 STREET,MIDTOWN CBD,D7-ELEVATOR,107,1924,70836,3017896,42.6,14800000,209,0.25,1-01307-0029,155 EAST 52 STREET,MIDTOWN CBD,D6-ELEVATOR,113,1929,66386,2322888,35,10800000,163,0.15
1-01310-7502,199-R1,667 LEXINGTON AVENUE,1,10022,40.75996,-73.969823,6,4,100,1036625,1013107502,Turtle Bay-East Midtown                                                    ,MIDTOWN CBD,R4-ELEVATOR,156,1956,141440,4950400,35,23099999,163,1-01300-0050,140 EAST 46 STREET,MIDTOWN CBD,D6-ELEVATOR,202,1924,131175,5000929,38.1,24500000,187,0.5,1-01309-0050,136 EAST 55 STREET,MIDTOWN CBD,D6-ELEVATOR,200,1957,204269,7495751,36.7,34900000,171,0.05
1-01310-7503,289-R1,150 EAST 56 STREET,1,10022,40.760048,-73.969166,6,4,100,1036787,1013107503,Turtle Bay-East Midtown                                                    ,MIDTOWN CBD,R4-ELEVATOR,75,1956,65658,2232372,34,10400000,158,1-01307-0029,155 EAST 52 STREET,MIDTOWN CBD,D6-ELEVATOR,113,1929,66386,2322888,35,10800000,163,0.15,1-01305-0023,135 EAST 50 STREET,MIDTOWN CBD,D7-ELEVATOR,107,1924,70836,3017896,42.6,14800000,209,0.25
